"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 16:31:11 TRT 2024","Thu May 30 16:31:18 TRT 2024","6875","chromium","testSuite.spec.js","","","","About page check. ",""
"passed","Thu May 30 16:28:59 TRT 2024","Thu May 30 16:29:04 TRT 2024","5016","chromium","testSuite.spec.js","","","","Sign Up ",""
"passed","Thu May 30 16:29:04 TRT 2024","Thu May 30 16:29:10 TRT 2024","5888","chromium","testSuite.spec.js","","","","Forgot Password ",""
"passed","Thu May 30 16:28:47 TRT 2024","Thu May 30 16:28:53 TRT 2024","5739","chromium","testSuite.spec.js","","","","Sign In without 8 characters",""
"passed","Thu May 30 16:30:33 TRT 2024","Thu May 30 16:30:37 TRT 2024","3509","chromium","testSuite.spec.js","","","","Become our Partner check. ",""
"broken","Thu May 30 16:30:37 TRT 2024","Thu May 30 16:31:07 TRT 2024","30069","chromium","testSuite.spec.js","","","","About contact page check. ",""
"passed","Thu May 30 16:30:30 TRT 2024","Thu May 30 16:30:33 TRT 2024","2592","chromium","testSuite.spec.js","","","","Blog page check ",""
"broken","Thu May 30 16:29:59 TRT 2024","Thu May 30 16:30:29 TRT 2024","30034","chromium","testSuite.spec.js","","","","Learn page check ",""
"passed","Thu May 30 16:29:10 TRT 2024","Thu May 30 16:29:14 TRT 2024","4283","chromium","testSuite.spec.js","","","","Sign In Correctly",""
"passed","Thu May 30 16:29:14 TRT 2024","Thu May 30 16:29:59 TRT 2024","45332","chromium","testSuite.spec.js","","","","Order Coffee ",""
"passed","Thu May 30 16:31:18 TRT 2024","Thu May 30 16:31:22 TRT 2024","3742","chromium","testSuite.spec.js","","","","Whole sale page check. ",""
"passed","Thu May 30 16:28:53 TRT 2024","Thu May 30 16:28:59 TRT 2024","5226","chromium","testSuite.spec.js","","","","Sign In with wrong password 8 characters",""
"passed","Thu May 30 16:31:08 TRT 2024","Thu May 30 16:31:11 TRT 2024","2967","chromium","testSuite.spec.js","","","","About Sustainability page check. ",""
